 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit,Track_ID,Particle_ID,Track_Length,Reverse_numbering
10990,65.70,205.68,808,4204.95,6.88,13163.72,7.32,0,0,130.65,7.22,134.74,1.48,95.59,5.99,101.78,6.38,0,1955.88,6.21,0.49,3,2458,33,87,55
10991,66.31,205.55,810,4243.63,9.80,13155.06,7.48,0,0,103.74,5.72,129.65,1.46,136.88,8.60,104.52,6.57,0,2178.98,4.85,0.47,3,2458,34,87,54
10992,65.53,205.24,811,4193.63,5.84,13135.54,5.99,0,0,143.35,7.15,132.96,1.34,89.93,5.08,92.17,5.20,0,1936.59,6.86,0.56,4,2458,35,87,53
10993,65.70,205.93,812,4204.89,7.68,13179.33,8.34,0,0,109.97,4.98,124.37,1.48,131.04,6.80,142.37,7.39,0,3294.88,6.70,0.54,3,2458,36,87,52
10994,66.24,205.75,814,4239.31,7.10,13168.26,6.18,0,0,131.17,6.48,130.96,1.39,110.32,6.19,96.04,5.39,0,2179.93,6.90,0.55,4,2458,37,87,51
10995,66.37,205.78,815,4247.49,7.85,13169.68,8.15,0,0,115.56,6.62,134.91,1.49,105.33,6.86,109.42,7.12,0,2271.91,5.70,0.47,3,2458,38,87,50
10996,65.80,205.73,817,4211.49,8.53,13166.90,7.69,0,0,113.34,6.53,132.20,1.48,113.86,7.45,102.57,6.72,0,2821.27,5.27,0.46,4,2458,39,87,49
10997,65.92,205.87,818,4218.84,6.00,13175.80,6.37,0,0,141.43,6.84,137.06,1.40,95.33,5.23,101.22,5.55,0,3184.73,7.21,0.56,4,2458,40,87,48
10998,65.93,205.74,819,4219.38,8.89,13167.63,8.91,0,0,107.69,6.49,134.60,1.56,113.60,7.79,113.82,7.81,0,2503.50,5.62,0.43,3,2458,41,87,47
10999,65.71,205.77,820,4205.69,9.05,13168.97,13.50,0,0,84.97,5.65,131.23,1.56,104.95,7.98,156.42,11.93,0,2819.91,3.89,0.37,4,2458,42,87,46
11000,65.83,205.99,821,4213.25,8.95,13183.30,9.61,0,0,107.67,6.39,128.55,1.64,116.26,7.87,124.85,8.45,0,3126.89,5.36,0.43,3,2458,43,87,45
11001,66.23,205.91,822,4238.97,9.54,13178.20,9.77,0,0,105.01,6.54,131.73,1.67,117.90,8.38,120.73,8.58,0,3523.27,5.67,0.41,3,2458,44,87,44
11002,66.08,205.81,823,4229.18,9.36,13171.60,9.40,0,0,86.41,4.98,131.58,1.34,125.36,8.25,125.84,8.28,0,2320.57,3.88,0.44,3,2458,45,87,43
11003,65.90,205.76,824,4217.73,7.99,13168.66,8.46,0,0,114.43,7.17,135.09,1.51,98.02,6.97,103.73,7.37,0,2787.79,5.34,0.43,4,2458,46,87,42
11004,66.24,205.60,825,4239.12,9.12,13158.11,8.53,0,0,114.60,6.55,136.06,1.66,122.85,8.00,115.00,7.49,0,2973.66,4.94,0.45,3,2458,47,87,41
11005,66.15,206.31,827,4233.52,7.18,13203.73,8.37,0,0,121.39,6.55,132.91,1.53,102.31,6.28,119.17,7.32,0,2498.45,6.04,0.49,3,2458,48,87,40
11006,65.52,205.53,828,4193.30,7.05,13154.14,6.89,0,0,115.39,5.57,129.98,1.31,112.35,6.17,109.82,6.03,0,2408.62,6.22,0.55,3,2458,49,87,39
11007,65.90,205.87,829,4217.43,13.83,13175.66,12.43,0,0,81.53,6.13,132.19,1.80,141.97,12.24,127.58,11.00,0,3243.77,3.95,0.30,3,2458,50,87,38
11008,65.57,205.89,830,4196.47,10.75,13177.08,8.21,0,0,97.62,5.38,128.73,1.53,150.57,9.50,115.01,7.25,0,3110.39,5.04,0.45,3,2458,51,87,37
11009,66.10,205.50,831,4230.18,9.87,13152.25,7.57,0,0,99.58,5.34,131.81,1.42,141.90,8.69,108.87,6.66,0,1898.00,4.44,0.48,3,2458,52,87,36
